City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
266,Saint-Francois,46.4154,3.9054,36.84,87,100,9.22,FR,overcast clouds
267,Lakes Entrance,-37.8811,147.981,90.16,48,0,9.75,AU,clear sky
268,Burnie,-41.0667,145.9167,70.95,64,99,6.24,AU,overcast clouds
269,Wangaratta,-36.3667,146.3333,87.48,36,0,4.59,AU,clear sky
270,Port Moresby,-9.4431,147.1797,87.22,66,20,17.27,PG,few clouds
271,Nynashamn,58.9034,17.9479,28.17,73,100,12.46,SE,overcast clouds
272,Westport,41.1415,-73.3579,52.83,61,4,18.01,US,clear sky
273,Zhigansk,66.7697,123.3711,-20.47,98,100,18.54,RU,light snow
274,Clyde River,70.4692,-68.5914,-0.17,65,2,20.71,CA,clear sky
275,Kavaratti,10.5669,72.642,81.55,75,100,8.05,IN,light rain
276,Lorengau,-2.0226,147.2712,81.95,78,100,6.55,PG,overcast clouds
277,Saint-Pierre,-21.3393,55.4781,74.88,73,0,4.61,RE,clear sky
278,Portland,45.5234,-122.6762,40.08,59,43,17.0,US,scattered clouds
279,Sambava,-14.2667,50.1667,75.56,81,90,6.11,MG,overcast clouds
280,Guerrero Negro,27.9769,-114.0611,64.56,79,92,9.06,MX,overcast clouds
281,Thompson,55.7435,-97.8558,-18.24,76,20,4.61,CA,few clouds
282,Luanda,-8.8368,13.2343,78.8,83,40,5.75,AO,scattered clouds
283,Wisconsin Rapids,44.3836,-89.8174,14.29,76,58,7.85,US,broken clouds
284,Ust-Tsilma,65.441,52.1498,-8.14,100,47,2.15,RU,scattered clouds
285,Havoysund,70.9963,24.6622,28.63,78,26,9.69,NO,scattered clouds
286,Moose Factory,51.2585,-80.6094,1.4,71,0,16.11,CA,clear sky
287,Itaberaba,-12.5275,-40.3069,68.85,98,96,2.44,BR,overcast clouds
288,Souillac,-20.5167,57.5167,73.78,83,40,0.0,MU,scattered clouds
289,Asilah,35.465,-6.0348,60.76,86,85,8.12,MA,overcast clouds
290,Caruray,10.3094,119.0128,85.03,69,79,6.89,PH,broken clouds
291,Puerto Carreno,6.189,-67.4859,76.33,81,55,5.99,CO,broken clouds
292,Santarem,-2.4431,-54.7083,78.93,94,40,2.3,BR,thunderstorm
293,Muros,42.7762,-9.0603,42.84,85,3,10.69,ES,clear sky
294,Plettenberg Bay,-34.0527,23.3716,56.97,79,68,3.24,ZA,broken clouds
295,Pangody,65.85,74.4859,-9.56,99,36,4.38,RU,scattered clouds
296,Bilma,18.6853,12.9164,70.72,21,4,9.42,NE,clear sky
297,Ha Tinh,18.3333,105.9,68.74,90,100,7.52,VN,overcast clouds
298,Khuzdar,27.7384,66.6434,50.18,38,0,3.8,PK,clear sky
